,요일,방문 시간대,방문자 집중률,지역구,방문자수,시간별방문자수
34,금요일,18~21시,0.025,부산진구,6142012.0,153550.30000000002
35,금요일,21~24시,0.018000000000000002,부산진구,6142012.0,110556.21600000001
36,토요일,00~06시,0.022000000000000002,부산진구,6142012.0,135124.26400000002
37,토요일,06~11시,0.03,부산진구,6142012.0,184260.36
38,토요일,11~14시,0.034,부산진구,6142012.0,208828.40800000002
39,토요일,14~18시,0.049,부산진구,6142012.0,300958.588
40,토요일,18~21시,0.031,부산진구,6142012.0,190402.372
41,토요일,21~24시,0.022000000000000002,부산진구,6142012.0,135124.26400000002
0,일요일,00~06시,0.02,북구,1963672.0,39273.44
1,일요일,06~11시,0.031,북구,1963672.0,60873.832
2,일요일,11~14시,0.03,북구,1963672.0,58910.159999999996
3,일요일,14~18시,0.040999999999999995,북구,1963672.0,80510.552
4,일요일,18~21시,0.022000000000000002,북구,1963672.0,43200.78400000001
5,일요일,21~24시,0.012,북구,1963672.0,23564.064000000002
6,월요일,00~06시,0.013999999999999999,북구,1963672.0,27491.407999999996
7,월요일,06~11시,0.031,북구,1963672.0,60873.832
8,월요일,11~14시,0.022000000000000002,북구,1963672.0,43200.78400000001
9,월요일,14~18시,0.031,북구,1963672.0,60873.832
10,월요일,18~21시,0.018000000000000002,북구,1963672.0,35346.096000000005
11,월요일,21~24시,0.01,북구,1963672.0,19636.72
12,화요일,00~06시,0.013999999999999999,북구,1963672.0,27491.407999999996
13,화요일,06~11시,0.032,북구,1963672.0,62837.504
14,화요일,11~14시,0.023,북구,1963672.0,45164.456
15,화요일,14~18시,0.032,북구,1963672.0,62837.504
16,화요일,18~21시,0.019,북구,1963672.0,37309.768
17,화요일,21~24시,0.011000000000000001,북구,1963672.0,21600.392000000003
18,수요일,00~06시,0.013999999999999999,북구,1963672.0,27491.407999999996
19,수요일,06~11시,0.031,북구,1963672.0,60873.832
20,수요일,11~14시,0.022000000000000002,북구,1963672.0,43200.78400000001
21,수요일,14~18시,0.032,북구,1963672.0,62837.504
22,수요일,18~21시,0.019,북구,1963672.0,37309.768
23,수요일,21~24시,0.011000000000000001,북구,1963672.0,21600.392000000003
24,목요일,00~06시,0.013000000000000001,북구,1963672.0,25527.736
25,목요일,06~11시,0.031,북구,1963672.0,60873.832
26,목요일,11~14시,0.022000000000000002,북구,1963672.0,43200.78400000001
27,목요일,14~18시,0.031,북구,1963672.0,60873.832
28,목요일,18~21시,0.019,북구,1963672.0,37309.768
29,목요일,21~24시,0.011000000000000001,북구,1963672.0,21600.392000000003
30,금요일,00~06시,0.015,북구,1963672.0,29455.079999999998
31,금요일,06~11시,0.033,북구,1963672.0,64801.176
32,금요일,11~14시,0.025,북구,1963672.0,49091.8
33,금요일,14~18시,0.036000000000000004,북구,1963672.0,70692.19200000001
34,금요일,18~21시,0.024,북구,1963672.0,47128.128000000004
35,금요일,21~24시,0.015,북구,1963672.0,29455.079999999998
36,토요일,00~06시,0.02,북구,1963672.0,39273.44
37,토요일,06~11시,0.037000000000000005,북구,1963672.0,72655.86400000002
38,토요일,11~14시,0.034,북구,1963672.0,66764.848
39,토요일,14~18시,0.046,북구,1963672.0,90328.912
40,토요일,18~21시,0.027000000000000003,북구,1963672.0,53019.14400000001
41,토요일,21~24시,0.018000000000000002,북구,1963672.0,35346.096000000005
0,일요일,00~06시,0.018000000000000002,사상구,2256647.0,40619.64600000001
1,일요일,06~11시,0.026000000000000002,사상구,2256647.0,58672.82200000001
2,일요일,11~14시,0.026000000000000002,사상구,2256647.0,58672.82200000001
3,일요일,14~18시,0.036000000000000004,사상구,2256647.0,81239.29200000002
4,일요일,18~21시,0.02,사상구,2256647.0,45132.94
5,일요일,21~24시,0.011000000000000001,사상구,2256647.0,24823.117000000002
6,월요일,00~06시,0.013999999999999999,사상구,2256647.0,31593.057999999997
7,월요일,06~11시,0.033,사상구,2256647.0,74469.35100000001
8,월요일,11~14시,0.025,사상구,2256647.0,56416.175
9,월요일,14~18시,0.034,사상구,2256647.0,76725.998
10,월요일,18~21시,0.018000000000000002,사상구,2256647.0,40619.64600000001
11,월요일,21~24시,0.01,사상구,2256647.0,22566.47
12,화요일,00~06시,0.013000000000000001,사상구,2256647.0,29336.411000000004
13,화요일,06~11시,0.034,사상구,2256647.0,76725.998
14,화요일,11~14시,0.026000000000000002,사상구,2256647.0,58672.82200000001
15,화요일,14~18시,0.035,사상구,2256647.0,78982.645
16,화요일,18~21시,0.019,사상구,2256647.0,42876.293
17,화요일,21~24시,0.01,사상구,2256647.0,22566.47
18,수요일,00~06시,0.013999999999999999,사상구,2256647.0,31593.057999999997
19,수요일,06~11시,0.034,사상구,2256647.0,76725.998
20,수요일,11~14시,0.026000000000000002,사상구,2256647.0,58672.82200000001
21,수요일,14~18시,0.035,사상구,2256647.0,78982.645
22,수요일,18~21시,0.019,사상구,2256647.0,42876.293
23,수요일,21~24시,0.011000000000000001,사상구,2256647.0,24823.117000000002
