기준년월,광역지자체,중분류,지출액,전년도 지출액,지역구,광역지자체명,소비액,전년동기 소비액,전년대비 소비증감률,대분류,대분류 지출액,대분류 지출액 비율,중분류 지출액,중분류 지출액 비율,기초지자체,기초지자체 명,기초지자체 지출액,기초지자체 지출액 비율
202206.0,부산광역시,기타레저,2353057.0,1343990.0,부산시,,,,,,,,,,,,,
202206.0,부산광역시,문화서비스,2141806.0,1017222.0,부산시,,,,,,,,,,,,,
202206.0,부산광역시,식음료,129075569.0,99076973.0,부산시,,,,,,,,,,,,,
202207.0,부산광역시,관광총소비,278253811.0,201244598.0,부산시,,,,,,,,,,,,,
202207.0,부산광역시,호텔,7258414.0,5315657.0,부산시,,,,,,,,,,,,,
202207.0,부산광역시,콘도,705644.0,527413.0,부산시,,,,,,,,,,,,,
202207.0,부산광역시,캠핑장/펜션,22307.0,13223.0,부산시,,,,,,,,,,,,,
202207.0,부산광역시,기타숙박,6004639.0,4196108.0,부산시,,,,,,,,,,,,,
202207.0,부산광역시,여행업,120056.0,67292.0,부산시,,,,,,,,,,,,,
202207.0,부산광역시,육상운송,15800.0,6076.0,부산시,,,,,,,,,,,,,
202207.0,부산광역시,수상운송,240549.0,170784.0,부산시,,,,,,,,,,,,,
202207.0,부산광역시,항공운송,7630584.0,1787564.0,부산시,,,,,,,,,,,,,
202207.0,부산광역시,렌터카,169800.0,144115.0,부산시,,,,,,,,,,,,,
202207.0,부산광역시,면세점,668947.0,113277.0,부산시,,,,,,,,,,,,,
202207.0,부산광역시,관광기념품,358129.0,246535.0,부산시,,,,,,,,,,,,,
202207.0,부산광역시,레저용품쇼핑,8248400.0,7133166.0,부산시,,,,,,,,,,,,,
202207.0,부산광역시,대형쇼핑몰,97230841.0,79673604.0,부산시,,,,,,,,,,,,,
202207.0,부산광역시,관광유원시설,1170791.0,512314.0,부산시,,,,,,,,,,,,,
202207.0,부산광역시,골프장,6168926.0,5589403.0,부산시,,,,,,,,,,,,,
202207.0,부산광역시,기타레저,2475391.0,1404045.0,부산시,,,,,,,,,,,,,
202207.0,부산광역시,문화서비스,2177645.0,1149811.0,부산시,,,,,,,,,,,,,
202207.0,부산광역시,식음료,137586949.0,93194211.0,부산시,,,,,,,,,,,,,
202208.0,부산광역시,관광총소비,275989625.0,178795559.0,부산시,,,,,,,,,,,,,
202208.0,부산광역시,호텔,7332486.0,4543145.0,부산시,,,,,,,,,,,,,
202208.0,부산광역시,콘도,764524.0,444512.0,부산시,,,,,,,,,,,,,
202208.0,부산광역시,캠핑장/펜션,27048.0,13907.0,부산시,,,,,,,,,,,,,
202208.0,부산광역시,기타숙박,6339864.0,3810846.0,부산시,,,,,,,,,,,,,
202208.0,부산광역시,여행업,108858.0,49680.0,부산시,,,,,,,,,,,,,
202208.0,부산광역시,육상운송,15726.0,4491.0,부산시,,,,,,,,,,,,,
202208.0,부산광역시,수상운송,315387.0,251779.0,부산시,,,,,,,,,,,,,
202208.0,부산광역시,항공운송,6436535.0,1898974.0,부산시,,,,,,,,,,,,,
202208.0,부산광역시,렌터카,181955.0,121585.0,부산시,,,,,,,,,,,,,
202208.0,부산광역시,면세점,740208.0,101669.0,부산시,,,,,,,,,,,,,
202208.0,부산광역시,관광기념품,421416.0,223703.0,부산시,,,,,,,,,,,,,
202208.0,부산광역시,레저용품쇼핑,6755501.0,5839524.0,부산시,,,,,,,,,,,,,
202208.0,부산광역시,대형쇼핑몰,95720596.0,74380876.0,부산시,,,,,,,,,,,,,
202208.0,부산광역시,관광유원시설,1562010.0,512260.0,부산시,,,,,,,,,,,,,
202208.0,부산광역시,골프장,6128789.0,5061560.0,부산시,,,,,,,,,,,,,
202208.0,부산광역시,기타레저,2464402.0,1306220.0,부산시,,,,,,,,,,,,,
202208.0,부산광역시,문화서비스,2253564.0,1100805.0,부산시,,,,,,,,,,,,,
202208.0,부산광역시,식음료,138420758.0,79130022.0,부산시,,,,,,,,,,,,,
202209.0,부산광역시,관광총소비,249777510.0,202661959.0,부산시,,,,,,,,,,,,,
202209.0,부산광역시,콘도,550696.0,430695.0,부산시,,,,,,,,,,,,,
202209.0,부산광역시,호텔,5068968.0,4191837.0,부산시,,,,,,,,,,,,,
202209.0,부산광역시,캠핑장/펜션,13747.0,12748.0,부산시,,,,,,,,,,,,,
202209.0,부산광역시,기타숙박,4098662.0,3410834.0,부산시,,,,,,,,,,,,,
202209.0,부산광역시,여행업,120760.0,51658.0,부산시,,,,,,,,,,,,,
202209.0,부산광역시,육상운송,13474.0,7199.0,부산시,,,,,,,,,,,,,
202209.0,부산광역시,수상운송,185596.0,201989.0,부산시,,,,,,,,,,,,,
202209.0,부산광역시,항공운송,5762648.0,2066108.0,부산시,,,,,,,,,,,,,
202209.0,부산광역시,렌터카,126818.0,129233.0,부산시,,,,,,,,,,,,,
202209.0,부산광역시,면세점,482785.0,143757.0,부산시,,,,,,,,,,,,,
202209.0,부산광역시,관광기념품,276000.0,250701.0,부산시,,,,,,,,,,,,,
202209.0,부산광역시,레저용품쇼핑,7819314.0,8749760.0,부산시,,,,,,,,,,,,,
202209.0,부산광역시,대형쇼핑몰,95499612.0,84883337.0,부산시,,,,,,,,,,,,,
202209.0,부산광역시,관광유원시설,1035354.0,405258.0,부산시,,,,,,,,,,,,,
202209.0,부산광역시,골프장,6029779.0,5587213.0,부산시,,,,,,,,,,,,,
202209.0,부산광역시,기타레저,2011821.0,1393987.0,부산시,,,,,,,,,,,,,
202209.0,부산광역시,문화서비스,1517498.0,994021.0,부산시,,,,,,,,,,,,,
202209.0,부산광역시,식음료,119163979.0,89751626.0,부산시,,,,,,,,,,,,,
202210.0,부산광역시,관광총소비,284150256.0,230915665.0,부산시,,,,,,,,,,,,,
202210.0,부산광역시,콘도,632328.0,528797.0,부산시,,,,,,,,,,,,,
202210.0,부산광역시,호텔,5904082.0,4884692.0,부산시,,,,,,,,,,,,,
202210.0,부산광역시,캠핑장/펜션,20829.0,11835.0,부산시,,,,,,,,,,,,,
202210.0,부산광역시,기타숙박,4819201.0,4023611.0,부산시,,,,,,,,,,,,,
202210.0,부산광역시,여행업,129404.0,129873.0,부산시,,,,,,,,,,,,,
202210.0,부산광역시,육상운송,23394.0,13215.0,부산시,,,,,,,,,,,,,
202210.0,부산광역시,수상운송,464323.0,338128.0,부산시,,,,,,,,,,,,,
202210.0,부산광역시,항공운송,5821112.0,2856651.0,부산시,,,,,,,,,,,,,
202210.0,부산광역시,렌터카,130512.0,145048.0,부산시,,,,,,,,,,,,,
202210.0,부산광역시,면세점,755208.0,149474.0,부산시,,,,,,,,,,,,,
202210.0,부산광역시,관광기념품,367735.0,285718.0,부산시,,,,,,,,,,,,,
202210.0,부산광역시,레저용품쇼핑,11675872.0,10562255.0,부산시,,,,,,,,,,,,,
202210.0,부산광역시,대형쇼핑몰,106939304.0,92992670.0,부산시,,,,,,,,,,,,,
202210.0,부산광역시,관광유원시설,1226114.0,543018.0,부산시,,,,,,,,,,,,,
202210.0,부산광역시,골프장,6813052.0,6228225.0,부산시,,,,,,,,,,,,,
202210.0,부산광역시,기타레저,2329359.0,1525726.0,부산시,,,,,,,,,,,,,
202210.0,부산광역시,문화서비스,1197678.0,1020288.0,부산시,,,,,,,,,,,,,
202210.0,부산광역시,식음료,134900750.0,104676441.0,부산시,,,,,,,,,,,,,
202211.0,부산광역시,관광총소비,252586744.0,224181099.0,부산시,,,,,,,,,,,,,
202211.0,부산광역시,콘도,534400.0,545959.0,부산시,,,,,,,,,,,,,
202211.0,부산광역시,호텔,4881704.0,4618977.0,부산시,,,,,,,,,,,,,
202211.0,부산광역시,캠핑장/펜션,8068.0,8520.0,부산시,,,,,,,,,,,,,
202211.0,부산광역시,기타숙박,4076945.0,3889743.0,부산시,,,,,,,,,,,,,
202211.0,부산광역시,여행업,207251.0,111929.0,부산시,,,,,,,,,,,,,
202211.0,부산광역시,육상운송,18560.0,11585.0,부산시,,,,,,,,,,,,,
202211.0,부산광역시,수상운송,274706.0,277828.0,부산시,,,,,,,,,,,,,
202211.0,부산광역시,항공운송,6369661.0,2912558.0,부산시,,,,,,,,,,,,,
202211.0,부산광역시,렌터카,107046.0,142197.0,부산시,,,,,,,,,,,,,
202211.0,부산광역시,면세점,1252312.0,133242.0,부산시,,,,,,,,,,,,,
202211.0,부산광역시,관광기념품,318519.0,295421.0,부산시,,,,,,,,,,,,,
202211.0,부산광역시,레저용품쇼핑,9398680.0,9669933.0,부산시,,,,,,,,,,,,,
202211.0,부산광역시,대형쇼핑몰,94717817.0,85689312.0,부산시,,,,,,,,,,,,,
202211.0,부산광역시,관광유원시설,832253.0,544506.0,부산시,,,,,,,,,,,,,
202211.0,부산광역시,골프장,5710743.0,5548287.0,부산시,,,,,,,,,,,,,
202211.0,부산광역시,기타레저,1844465.0,1343263.0,부산시,,,,,,,,,,,,,
202211.0,부산광역시,문화서비스,1048979.0,953225.0,부산시,,,,,,,,,,,,,
202211.0,부산광역시,식음료,120984635.0,107484615.0,부산시,,,,,,,,,,,,,
202212.0,부산광역시,관광총소비,276979117.0,214993670.0,부산시,,,,,,,,,,,,,
202212.0,부산광역시,호텔,6173054.0,4740721.0,부산시,,,,,,,,,,,,,
202212.0,부산광역시,콘도,599900.0,567560.0,부산시,,,,,,,,,,,,,
202212.0,부산광역시,캠핑장/펜션,5192.0,6171.0,부산시,,,,,,,,,,,,,
202212.0,부산광역시,기타숙박,4530226.0,4071596.0,부산시,,,,,,,,,,,,,
202212.0,부산광역시,여행업,122895.0,113100.0,부산시,,,,,,,,,,,,,
202212.0,부산광역시,육상운송,14156.0,8611.0,부산시,,,,,,,,,,,,,
202212.0,부산광역시,수상운송,156637.0,121301.0,부산시,,,,,,,,,,,,,
202212.0,부산광역시,항공운송,7170001.0,2417029.0,부산시,,,,,,,,,,,,,
202212.0,부산광역시,렌터카,88446.0,111851.0,부산시,,,,,,,,,,,,,
202212.0,부산광역시,면세점,1700584.0,172389.0,부산시,,,,,,,,,,,,,
202212.0,부산광역시,관광기념품,334005.0,284130.0,부산시,,,,,,,,,,,,,
202212.0,부산광역시,레저용품쇼핑,8667568.0,8161609.0,부산시,,,,,,,,,,,,,
202212.0,부산광역시,대형쇼핑몰,104514410.0,90494539.0,부산시,,,,,,,,,,,,,
202212.0,부산광역시,관광유원시설,769764.0,479821.0,부산시,,,,,,,,,,,,,
202212.0,부산광역시,골프장,4330740.0,4628179.0,부산시,,,,,,,,,,,,,
202212.0,부산광역시,기타레저,1841350.0,1177488.0,부산시,,,,,,,,,,,,,
202212.0,부산광역시,문화서비스,1770447.0,836713.0,부산시,,,,,,,,,,,,,
202212.0,부산광역시,식음료,134189742.0,96600862.0,부산시,,,,,,,,,,,,,
,,,,,부산시,부산광역시,3022404484.0,2422827075.0,0.0,,,,,,,,,
,,관광기념품,,,부산시,,,,,쇼핑업,1279215430.0,42.3,4015262.0,0.3,,,,
,,대형쇼핑몰,,,부산시,,,,,쇼핑업,1279215430.0,42.3,1164980017.0,91.1,,,,
,,레저용품쇼핑,,,부산시,,,,,쇼핑업,1279215430.0,42.3,103373260.0,8.1,,,,
,,면세점,,,부산시,,,,,쇼핑업,1279215430.0,42.3,6846890.0,0.5,,,,
,,기타숙박,,,부산시,,,,,숙박업,129371262.0,4.3,55067067.0,42.6,,,,
,,캠핑장/펜션,,,부산시,,,,,숙박업,129371262.0,4.3,157941.0,0.1,,,,
,,콘도,,,부산시,,,,,숙박업,129371262.0,4.3,7055564.0,5.5,,,,
,,호텔,,,부산시,,,,,숙박업,129371262.0,4.3,67090690.0,51.9,,,,
,,식음료,,,부산시,,,,,식음료업,1417281900.0,46.9,1417281900.0,100.0,,,,
,,골프장,,,부산시,,,,,여가서비스업,119663123.0,4.0,67906916.0,56.7,,,,
,,관광유원시설,,,부산시,,,,,여가서비스업,119663123.0,4.0,11303887.0,9.4,,,,
,,기타레저,,,부산시,,,,,여가서비스업,119663123.0,4.0,23441135.0,19.6,,,,
,,문화서비스,,,부산시,,,,,여가서비스업,119663123.0,4.0,17011186.0,14.2,,,,
