,fid,id,left,top,right,bottom,관광여가오락수,교육수,부동산수,생활서비스수,소매수,숙박수,스포츠수,음식수,총건물수,승차총승객수,하차총승객수,대지면적,단독건물수,건물면적,공동건축물수,60대총인구수,50대총인구수,40대총인구수,30대총인구수,20대총인구수,총인구대비남성비율,총인구대비여성비율,생산가능인구남성비율,생산가능인구여성비율,인구당전기차수,병원수,어린이집수,학교수,주차장주차면수,전기차충전기수,급속충전기수,완속충전기수,전기차충전기유무,급속충전기유무,완속충전기유무,RandomForestClassifier의 P(y=1)_x,XGBClassifier의 P(y=1),LGBMClassifier의 P(y=1),CatBoostClassifier의 P(y=1),RandomForestClassifier의 P(y=1)_y,평균 P(y=1)의 확률,rf_prediction,actual,confusion,label
254,1249,1490,207353.585523172,448818.165377999,207453.585523172,448718.165377999,0,0,2,7,4,0,1,18,24,0.0,0.0,338.5,8,178.17,6,23,39,87,145,169,0.414201183431953,0.585798816568047,0.407002188183808,0.592997811816192,8.845783635,2,0,0,15.0,0,0,0,0,0,0,0.1289828431372549,0.031332355,0.0012957150869215,3.751595000082633e-06,0.14,0.0603229329623609,1,0,FP,3사분면
256,1251,1488,207353.585523172,449018.165377999,207453.585523172,448918.165377999,0,1,0,4,5,0,1,3,39,0.0,0.0,231.0,18,128.49,14,65,68,93,178,173,0.454545454545454,0.545454545454545,0.455516014234875,0.544483985765125,11.323300945,0,0,0,120.0,0,0,0,0,0,0,0.1658435072142064,0.021750307,0.0040529603002157,2.0807433651260083e-05,0.11,0.0603335163317348,1,0,FP,2사분면
257,1252,1489,207353.585523172,448918.165377999,207453.585523172,448818.165377999,0,3,4,12,15,0,2,10,31,218.913978494624,138.681003584229,206.09,16,117.03,6,48,61,55,94,73,0.487309644670051,0.512690355329949,0.508038585209003,0.491961414790997,6.87423817,3,1,0,0.0,0,0,0,0,0,0,0.1649660415636842,0.03779943,0.019776189832789,2.3113131168664283e-08,0.1,0.064508336731608,1,0,FP,3사분면
258,1255,1500,207353.585523172,447818.165377999,207453.585523172,447718.165377999,0,1,0,1,5,0,0,1,11,0.0,0.0,654.0,2,217.5,7,148,135,123,86,76,0.477732793522267,0.522267206477733,0.472014925373134,0.527985074626866,12.928453005,0,1,0,0.0,0,0,0,0,0,0,0.3099065076657623,0.098613545,0.0262586066199844,0.0563310823731691,0.33,0.1642219483914984,1,0,FP,1사분면
259,1256,1501,207353.585523172,447718.165377999,207453.585523172,447618.165377999,0,2,0,1,1,0,0,1,8,0.0,0.0,250.13,2,238.48,6,138,112,132,102,76,0.468030690537084,0.531969309462916,0.466037735849057,0.533962264150943,13.64379251,0,0,0,324.0,0,0,0,0,0,0,0.3279745326160767,0.03571058,0.0098017537891876,0.0245232225212288,0.28,0.135602017914697,1,0,FP,1사분면
260,1258,1499,207353.585523172,447918.165377999,207453.585523172,447818.165377999,0,1,1,3,0,0,0,0,31,0.0,0.0,227.63,15,126.55,15,70,90,61,77,69,0.440928270042194,0.559071729957806,0.438202247191011,0.561797752808989,8.27002257,0,3,0,59.0,0,0,0,0,0,0,0.1453772795237806,0.026774537,7.383098789931884e-05,2.4609206184034685e-06,0.11,0.0564456216501128,1,0,FP,3사분면
262,1274,1526,207453.585523172,451018.165377999,207553.585523172,450918.165377999,0,0,1,1,0,0,0,0,30,0.0,0.0,146.06,25,83.48,4,44,33,52,70,40,0.456310679611651,0.543689320388349,0.466960352422908,0.533039647577092,5.391217245,0,0,0,171.0,0,0,0,0,0,0,0.1442502285004911,0.06337002,0.0450132341842947,3.0771455020317857e-07,0.17,0.08452675791936,1,0,FP,3사분면
263,1275,1527,207453.585523172,450918.165377999,207553.585523172,450818.165377999,0,4,1,1,6,0,1,4,42,0.0,0.0,198.97,28,108.9,11,93,97,94,104,94,0.476190476190476,0.523809523809524,0.473233404710921,0.526766595289079,10.625408745,0,1,0,84.0,0,0,0,0,0,0,0.191674890904046,0.11017625,0.0746939392570986,2.322256260897789e-05,0.23,0.1213136606124616,1,0,FP,1사분면
267,1311,1427,207253.585523172,449318.165377999,207353.585523172,449218.165377999,0,1,0,0,1,0,0,1,40,0.0,0.0,209.64,17,117.39,22,84,93,118,92,110,0.4679186228482,0.5320813771518,0.471311475409836,0.528688524590164,11.148827895,0,0,0,0.0,0,0,0,0,0,0,0.2953387605042018,0.010089901,0.000206929420395,1.0976835892983609e-07,0.34,0.1291271401937777,1,0,FP,1사분면
268,1315,1439,207253.585523172,448118.165377999,207353.585523172,448018.165377999,0,1,3,4,0,0,1,8,34,0.0,0.0,180.21,24,95.68,7,62,51,47,81,52,0.454301075268817,0.545698924731183,0.494545454545455,0.505454545454545,6.49039746,1,1,0,79.0,0,0,0,0,0,0,0.1276083444741533,0.050069664,0.0206954944475623,1.9804562282541105e-08,0.13,0.0656747044799834,1,0,FP,3사분면
271,1327,1443,207253.585523172,447718.165377999,207353.585523172,447618.165377999,0,6,2,4,2,0,1,0,6,0.0,0.0,1438.21,2,884.51,4,178,145,139,106,93,0.487041036717063,0.512958963282937,0.49009900990099,0.50990099009901,16.15620443,0,0,0,13.0,0,0,0,0,0,0,0.2528711484593838,0.032450598,0.0001115791109013,1.8669834277280936e-05,0.27,0.1110903990275643,1,0,FP,1사분면
273,1335,1462,207353.585523172,451618.165377999,207453.585523172,451518.165377999,0,1,3,2,2,0,0,7,33,17.3833333333333,39.8333333333333,263.34,19,129.71,10,62,110,74,79,90,0.495361781076067,0.504638218923933,0.493975903614458,0.506024096385542,9.404097395,3,0,0,158.0,0,0,0,0,0,0,0.1402116446125962,0.02961546,0.0007446182039296,2.0290888864848872e-05,0.11,0.056118402733814,1,0,FP,3사분면
278,1361,1356,207153.585523172,450618.165377999,207253.585523172,450518.165377999,0,2,1,3,8,0,0,2,48,0.0,0.0,152.42,46,85.09,2,48,41,42,71,62,0.480243161094225,0.519756838905775,0.487394957983193,0.512605042016807,5.740163345,0,0,0,17.0,0,0,0,0,0,0,0.1507802512030453,0.024231963,0.0002818517431515,0.0004447604065155,0.2,0.0751477652424686,1,0,FP,3사분면
281,1377,1372,207153.585523172,449018.165377999,207253.585523172,448918.165377999,0,0,0,0,0,0,0,0,12,0.0,0.0,798.06,2,237.42,10,53,73,75,49,48,0.480278422273782,0.519721577726218,0.49,0.51,7.519788455,0,0,0,109.0,0,0,0,0,0,0,0.2188828145015808,0.1419342,0.0010536901994551,0.0005977931784717,0.21,0.1144936998001675,1,0,FP,3사분면
283,1383,1382,207153.585523172,448018.165377999,207253.585523172,447918.165377999,0,0,0,9,4,0,0,2,34,158.814516129032,274.040322580645,198.83,22,112.09,11,67,66,65,88,63,0.488888888888889,0.511111111111111,0.501529051987768,0.498470948012233,7.85128725,0,0,0,126.0,0,0,0,0,0,0,0.1382831809194266,0.004356037,5.483421986718017e-06,0.0004985842758971,0.14,0.0566286571022667,1,0,FP,3사분면
