충전소,x,y,count,fast_count,slow_count
크레스코빌딩 충전소(ENH),37.5507086,127.1098465,4,0.0,4.0
타워더모스트광진아크로텔오피스텔,37.5375333,127.082184,7,0.0,7.0
테라팰리스건대2차아파트,37.5379661,127.0863982,2,0.0,2.0
포르쉐 데스티네이션 그랜드워커힐 서울,37.5552126,127.1108905,2,0.0,2.0
포르쉐 데스티네이션 비스타워커힐 서울,37.5552126,127.1108905,2,0.0,2.0
폴라트리움,37.539418,127.0946115,2,0.0,2.0
한강현대아파트,37.5330405,127.0667952,6,0.0,6.0
한강현대아파트,37.533088,127.0668267,4,0.0,4.0
허니빌 (저압수용가),37.5598774,127.0798411,1,0.0,1.0
현대골든텔2오피스텔,37.5516182,127.1109471,1,0.0,1.0
현대리버빌,37.5492059,127.1095405,1,0.0,1.0
현대프라임,37.5373373,127.0976724,50,0.0,50.0
현대프라임아파트,37.5373373,127.0976724,8,0.0,8.0
