,fid,id,left,top,right,bottom,관광여가오락수,교육수,부동산수,생활서비스수,소매수,숙박수,스포츠수,음식수,총건물수,승차총승객수,하차총승객수,대지면적,단독건물수,건물면적,공동건축물수,60대총인구수,50대총인구수,40대총인구수,30대총인구수,20대총인구수,총인구대비남성비율,총인구대비여성비율,생산가능인구남성비율,생산가능인구여성비율,인구당전기차수,병원수,어린이집수,학교수,주차장주차면수,전기차충전기수,급속충전기수,완속충전기수,전기차충전기유무,급속충전기유무,완속충전기유무,RandomForestClassifier의 P(y=1)_x,XGBClassifier의 P(y=1),LGBMClassifier의 P(y=1),CatBoostClassifier의 P(y=1),RandomForestClassifier의 P(y=1)_y,평균 P(y=1)의 확률,rf_prediction,actual,confusion,label
224,1138,1636,207653.585523172,451618.165377999,207753.585523172,451518.165377999,0,11,0,4,7,0,2,17,20,173.467741935484,223.596774193548,272.45,5,149.23,5,18,44,23,34,46,0.47136563876652,0.52863436123348,0.473684210526316,0.526315789473684,3.960538235,0,0,0,84.0,0,0,0,0,0,0,0.3502243084733895,0.06536622,0.0003447346065479,3.969061668450773e-05,0.48,0.1791949914302194,1,0,FP,1사분면
226,1144,1646,207653.585523172,450618.165377999,207753.585523172,450518.165377999,0,2,2,8,6,1,0,7,15,18.0322580645161,111.096774193548,344.55,5,153.2,2,0,12,0,45,36,0.378378378378378,0.621621621621622,0.377551020408163,0.622448979591837,1.936650855,0,0,0,82.0,0,0,0,0,0,0,0.1372942216102127,0.029248789,0.0024580004508433,1.5524623624405363e-06,0.12,0.0578005126952491,1,0,FP,2사분면
230,1170,1540,207453.585523172,449618.165377999,207553.585523172,449518.165377999,0,0,0,0,4,0,0,1,4,0.0,0.0,517.1,2,159.4,1,8,0,13,12,0,0.444444444444444,0.555555555555556,0.435897435897436,0.564102564102564,0.94215447,2,0,0,45.0,0,0,0,0,0,0,0.1920529674428933,0.16150683,0.1559733438637368,0.064633598791936,0.15,0.1448333483489063,1,0,FP,3사분면
231,1171,1541,207453.585523172,449518.165377999,207553.585523172,449418.165377999,1,4,0,3,11,0,0,15,20,42.9462365591398,143.58064516129,360.13,4,171.83,3,23,26,15,21,16,0.572463768115942,0.427536231884058,0.56701030927835,0.43298969072165,2.40772809,0,0,0,0.0,0,0,0,0,0,0,0.1418744021999043,0.02646263,0.0014228257732047,1.4859473086919252e-05,0.19,0.0719549433767285,1,0,FP,1사분면
232,1176,1550,207453.585523172,448618.165377999,207553.585523172,448518.165377999,2,3,0,5,9,0,1,4,11,697.435483870968,828.08064516129,352.44,1,191.39,2,13,13,23,50,51,0.493975903614458,0.506024096385542,0.493055555555556,0.506944444444444,2.89625263,3,0,0,82.0,0,0,0,0,0,0,0.1369006484612562,0.0072950386,2.836440982444637e-05,1.6628519428010998e-07,0.1,0.0488448435414734,1,0,FP,2사분면
233,1178,1548,207453.585523172,448818.165377999,207553.585523172,448718.165377999,10,0,4,3,3,0,1,18,37,0.0,0.0,234.81,12,117.88,10,40,39,49,45,39,0.507246376811594,0.492753623188406,0.48989898989899,0.51010101010101,4.81545618,0,0,0,168.0,0,0,0,0,0,0,0.1456109801644235,0.092058405,0.1181098882831515,5.418654712755943e-06,0.17,0.1051569384764802,1,0,FP,3사분면
234,1179,1549,207453.585523172,448718.165377999,207553.585523172,448618.165377999,6,0,7,19,15,0,1,31,24,0.0,0.0,203.56,7,103.57,0,11,17,16,18,35,0.477477477477477,0.522522522522523,0.46875,0.53125,1.936650855,6,0,0,98.0,0,0,0,0,0,0,0.2137889530812324,0.14524116,0.2226752469154801,6.429178032871707e-09,0.22,0.1603410725292653,1,0,FP,1사분면
242,1198,1574,207553.585523172,452018.165377999,207653.585523172,451918.165377999,0,0,0,4,3,0,0,4,24,0.0,0.0,311.28,5,154.21,11,56,44,33,56,37,0.482394366197183,0.517605633802817,0.478260869565217,0.521739130434783,4.95503462,0,0,0,27.0,0,0,0,0,0,0,0.1315167025601776,0.11501853,0.001022094705319,0.0018047889992307,0.1,0.0698724235889669,1,0,FP,3사분면
243,1201,1573,207553.585523172,452118.165377999,207653.585523172,452018.165377999,1,0,2,10,6,0,0,10,24,174.573655913978,226.644086021505,223.7,8,110.32,6,33,40,35,44,28,0.467811158798283,0.532188841201717,0.474576271186441,0.525423728813559,4.065222065,0,0,0,0.0,0,0,0,0,0,0,0.2356508864455634,0.05096449,0.1876060731924718,8.3156130860988e-08,0.22,0.1388443064746733,1,0,FP,1사분면
252,1247,1492,207353.585523172,448618.165377999,207453.585523172,448518.165377999,2,1,1,4,8,0,2,5,11,0.0,0.0,442.24,0,181.82,1,0,0,0,26,23,0.451612903225806,0.548387096774194,0.431034482758621,0.568965517241379,1.08173291,13,0,0,80.0,0,0,0,0,0,0,0.1385464495875869,0.041491788,5.185427673408001e-05,2.0357036277179182e-05,0.12,0.0600220897562514,1,0,FP,2사분면
