XGBClassifier의 P(y=1),LGBMClassifier의 P(y=1),CatBoostClassifier의 P(y=1),평균 P(y=1)의 확률,prediction_0.22,actual,confusion
0.009193364,1.7068070495438568e-05,0.47699060215412514,0.16206701127469994,0,0,TN
0.016460594,3.1745651425577396e-05,0.15376354701037423,0.05675196215053857,0,0,TN
0.023550099,3.6755816850670117e-06,0.27830587287144715,0.10061988240501613,0,0,TN
0.46285373,0.0010331704708385992,0.6687727479850682,0.37755321606026365,1,0,FP
0.0010772316,1.897796269599511e-06,0.09664186480116413,0.032573664733081896,0,1,FN
0.04458419,0.0034863029688528024,0.48423347038929754,0.17743465398948854,0,1,FN
0.004566244,4.027202973828317e-05,0.5716643333103633,0.19209028306326545,0,0,TN
0.9051781,0.44827097962063944,0.43313794871701916,0.5955290193368876,1,0,FP
0.02813289,0.00016908199523051843,0.15202847215620355,0.06011014785707605,0,1,FN
0.10703969,0.00041004793734844623,0.37149777704161036,0.159649171665553,0,0,TN
0.012540657,0.010817786291266285,0.47541105568424,0.1662564996829219,0,0,TN
0.014566267,2.176559340749097e-07,0.05718266780702511,0.023916384124066953,0,0,TN
0.47220892,0.38099750929563697,0.6760706931290716,0.5097590398552231,1,0,FP
0.3027313,0.9142495465836062,0.23947403102053952,0.48548496098831323,1,1,TP
0.67989147,0.24942985691755687,0.5288588011759494,0.4860600417293092,1,0,FP
0.32680956,0.6677612382385145,0.6130353548044712,0.5358687161117052,1,0,FP
0.012528003,3.067809351455598e-05,0.5697237364037826,0.19409413923024507,0,0,TN
0.019200929,0.00024205073344204543,0.167669546865399,0.06237084203602548,0,0,TN
0.0063179294,1.7141651809797773e-08,0.0646448762417146,0.023654274249369084,0,0,TN
0.61551833,0.00012850885296304129,0.26201187106315466,0.29255290381460924,1,0,FP
0.012504423,0.009920433527159373,0.4497861955871446,0.1574036840504918,0,0,TN
0.011456601,0.0007818302534039787,0.18685473734023703,0.06636438963844608,0,1,FN
0.004063855,2.987352867344909e-09,0.03558969828446743,0.01321785206571825,0,0,TN
0.0027413734,3.910739809639448e-06,0.12259172172180419,0.04177900194617821,0,0,TN
0.01207466,0.00016124855747260336,0.3711546653540344,0.12779685783000308,0,0,TN
0.17887701,0.09885721980857154,0.3829669548331762,0.22023372852775105,1,0,FP
0.00074486644,1.7883894210756726e-05,0.42911647407678494,0.14329307480368944,0,0,TN
0.00022669166,1.4824172880851341e-07,0.03316321208387473,0.011130017327294616,0,0,TN
0.045486383,0.0014984661508710146,0.5785495138601372,0.20851145438369845,0,0,TN
0.19922535,0.04251790298852982,0.5332280783838749,0.2583237775289378,1,0,FP
0.12228022,0.04598833269754421,0.586745259416133,0.2516712699402781,1,0,FP
0.02648054,0.0014818255850177883,0.254090407106251,0.09401759110815681,0,0,TN
0.9146387,0.9954585957044406,0.5662209742232321,0.8254394226762388,1,0,FP
0.94836605,0.9973625588470958,0.6532388366231192,0.8663224804740194,1,0,FP
0.03737319,0.0014430480613328656,0.4238123971499823,0.15420954469812712,0,0,TN
0.0012346379,6.957462616158548e-08,0.32988175558762334,0.11037215436161896,0,1,FN
0.92858106,0.9370072373367415,0.8363676501980014,0.9006519821712592,1,1,TP
